,bin,time(ms),color change & not first & correct,no color change & not first & correct,
314919309,13,303,0.68444,0.90028,
314919309,14,328,0.56632,0.82955,
314919309,15,353,0.30096,0.58716,
314919309,16,378,0.26602,0.67912,
314919309,17,404,0.11489,0.71818,
314919309,18,429,-0.017971,0.60479,
314919309,19,454,-0.10379,0.31265,
314919309,20,479,-0.1526,0.26244,
314919309,21,504,-0.12954,0.12633,
314919309,22,530,-0.2539,-0.055432,
314919309,23,555,-0.23698,-0.13259,
314919309,24,580,-0.33416,-0.16149,
314919309,25,605,-0.37206,-0.14917,
314919309,26,631,-0.37061,-0.22055,
314919309,27,656,-0.2974,-0.33916,
314919309,28,681,-0.21068,-0.31051,
314919309,29,706,-0.18585,-0.30541,
314919309,30,731,-0.18551,-0.33125,
314919309,31,757,0.0069965,-0.44905,
314919309,32,782,0.021599,-0.22276,
314919309,33,807,0.18172,-0.36311,
314919309,34,832,0.30902,-0.22023,
314919309,35,858,0.26733,-0.051352,
314919309,36,883,0.38639,-0.11844,
314919309,37,908,0.15912,-0.031099,
314919309,38,933,0.24154,-0.080044,
314919309,39,958,0.20678,0.053023,
314919309,40,984,0.36894,0.21603,
314919309,41,1009,0.40217,0.28934,
314919309,42,1034,0.42496,0.37929,
314919309,43,1059,0.3553,0.27018,
314919309,44,1085,0.58638,0.35271,
314919309,45,1110,0.51062,0.41195,
314919309,46,1135,0.56596,0.54428,
314919309,47,1160,0.54318,0.6807,
314919309,48,1185,0.67597,0.67849,
314919309,49,1211,0.71503,0.55327,
314919309,50,1236,0.61807,0.66512,
314919309,51,1261,0.66371,0.67365,
314919309,52,1286,0.82805,0.6379,
314919309,53,1312,0.93248,0.70179,
314919309,54,1337,0.70561,0.60829,
314919309,55,1362,0.75704,0.65846,
314919309,56,1387,0.86213,0.57572,
314919309,57,1413,0.88965,0.47788,
314919309,58,1438,0.89485,0.6978,
314919309,59,1463,0.77429,0.91167,
314919309,60,1488,0.91089,1.0228,
314919309,61,1513,0.79979,1.2355,
314919309,62,1539,0.94669,1.2796,
314919309,63,1564,0.94486,1.3799,
314919309,64,1589,0.98543,1.5539,
314919309,65,1614,1.01,1.7531,
314919309,66,1640,0.99923,1.7465,
314919309,67,1665,1.3217,1.634,
314919309,68,1690,1.3894,1.6458,
314919309,69,1715,1.484,1.4548,
314919309,70,1740,1.3421,1.1506,
314919309,71,1766,1.6657,0.91898,
314919309,72,1791,1.3424,0.81734,
314919309,73,1816,1.2309,0.74557,
314919309,74,1841,1.2304,0.58572,
314919309,75,1867,0.96755,0.35829,
314919309,76,1892,0.89107,0.16267,
314919309,77,1917,0.94571,-0.042655,
314919309,78,1942,0.78074,-0.32427,
314919309,79,1967,0.80045,-0.38895,
314919309,80,1993,0.76461,-0.73427,
314919309,81,2018,0.69649,-0.73232,
314919309,82,2043,0.59887,-0.70958,
314919309,83,2068,0.44254,-1.0667,
