,bin,time(ms),not first & no update & correct,not first & update & correct,
209154863,83,2065,-0.17607,0.027951,
209154863,84,2090,-0.19398,0.013282,
209154863,85,2116,-0.18357,0.0038092,
209154863,86,2141,-0.17412,0.058366,
209154863,87,2166,-0.18659,0.070152,
209154863,88,2191,-0.18389,0.01749,
209154863,89,2216,-0.18018,0.020234,
209154863,90,2242,-0.17404,0.0040774,
209154863,91,2267,-0.2156,0.0097356,
209154863,92,2292,-0.24188,0.0010336,
209154863,93,2317,-0.21587,0.013425,
209154863,94,2342,-0.24144,-0.013097,
209154863,95,2368,-0.22778,-0.023644,
209154863,96,2393,-0.22718,-0.051618,
209154863,97,2418,-0.19066,-0.026179,
209154863,98,2443,-0.19755,-0.04848,
209154863,99,2468,-0.21369,-0.062728,
209154863,100,2493,-0.23995,-0.068699,
209154863,101,2519,-0.18638,-0.040172,
209154863,102,2544,-0.22819,-0.069709,
209154863,103,2569,-0.23744,-0.088151,
209154863,104,2594,-0.22602,-0.11297,
209154863,105,2619,-0.20881,-0.097007,
209154863,106,2645,-0.22573,-0.11719,
209154863,107,2670,-0.1896,-0.12612,
209154863,108,2695,-0.19224,-0.10553,
209154863,109,2720,-0.2053,-0.1488,
209154863,110,2745,-0.21848,-0.11417,
209154863,111,2771,-0.17646,-0.12762,
209154863,112,2796,-0.16281,-0.13169,
209154863,113,2821,-0.14757,-0.15457,
209154863,114,2846,-0.13023,-0.099953,
209154863,115,2871,-0.13508,-0.14245,
209154863,116,2896,-0.12802,-0.12038,
209154863,117,2922,-0.10792,-0.12109,
209154863,118,2947,-0.12804,-0.12365,
209154863,119,2972,-0.11783,-0.10826,
209154863,120,2997,-0.12265,-0.10401,
209154863,121,3022,-0.07091,-0.10773,
209154863,122,3048,-0.11471,-0.094885,
209154863,123,3073,-0.091236,-0.084377,
209154863,124,3098,-0.08609,-0.030407,
209154863,125,3123,-0.080434,-0.029042,
209154863,126,3148,-0.049648,-0.0025311,
209154863,127,3174,-0.012749,-0.021519,
209154863,128,3199,-0.012106,-0.0056804,
209154863,129,3224,-0.012099,-0.0007257,
209154863,130,3249,-0.042905,0.00060992,
209154863,131,3274,0.0053434,
209154863,132,3299,0.04462,
209154863,133,3325,0.076319,
209154863,134,3350,0.080251,
209154863,135,3375,0.074055,
314919309,1,0,-0.23936,0.037749,
314919309,2,25,-0.25866,0.052344,
314919309,3,50,-0.26989,0.056076,
314919309,4,76,-0.26799,0.10525,
314919309,5,101,-0.24311,0.10149,
314919309,6,126,-0.25161,0.14789,
314919309,7,151,-0.21471,0.18056,
